foundation_spp,name,data,model,tidy,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,nicenames
Mytilus,bix,,,,0.10405339312461936,0.022603701590493963,0.988633551124736,1.2775173381844354,0.2824040907429763,1,-17.211739352678947,40.423478705357894,42.1183267777425,10.751359282504568,11,13,&Delta;BIX
Mytilus,heterotrophic_bacterioplankton_m_l,,,,0.12401662634795893,0.05663328991318661,0.9712706677784589,1.8404643181776552,0.19798864431987903,1,-19.773570201354453,45.547140402708905,47.67129100601554,12.263767231128575,13,15,&Delta;Heterotrophic Bacteria
Mytilus,hix,,,,0.05974122119544101,-0.025736849604973466,1.0127866752702532,0.6989069902493793,0.4209402719308276,1,-17.525522389252544,41.05104477850509,42.745892850889696,11.28310534565471,11,13,&Delta;HIX
Mytilus,m_c,,,,0.010251487742300634,-0.07972564973567198,1.0390984793250695,0.11393436187954195,0.7420619460852383,1,-17.85894475682979,41.71788951365958,43.41273758604419,11.87698214709239,11,13,&Delta;M:C
Mytilus,nh4_umol_l,,,,3.686548404595805e-5,-0.08329339572561678,1.0408138141500702,4.4240211791971663e-4,0.9835647408715129,1,-19.346125596644207,44.69225119328841,46.609423182134186,12.999520748707404,12,14,&Delta; Ammonium
Mytilus,nn_umol_l,,,,0.2059781456748155,0.1448995414959552,0.9247164205874387,3.372345331789781,0.08926607805777213,1,-19.036799258607214,44.07359851721443,46.19774912052106,11.116305960552584,13,15,&Delta;Nitrate+Nitrite
Phyllospadix,bix,,,,0.024378524927389573,-0.0506692808474265,1.0250216001857846,0.3248399426965029,0.5784305643805514,1,-20.58152695656979,47.16305391313958,49.28720451644621,13.658700651016543,13,15,&Delta;BIX
Phyllospadix,heterotrophic_bacterioplankton_m_l,,,,0.3811642982591841,0.33696174813484014,0.8142716081659485,8.623129144969004,0.01083107143484566,1,-18.34738462756123,42.69476925512246,45.012535421841804,9.282535526112238,14,16,&Delta;Heterotrophic Bacteria
Phyllospadix,hix,,,,0.002104339547059207,-0.07465686510316694,1.0366565801185883,0.027414102692212058,0.8710408835839623,1,-20.75083228606337,47.50166457212674,49.625815175433374,13.970539246341174,13,15,&Delta;HIX
Phyllospadix,m_c,,,,0.056830909923074865,-0.015720558544380925,1.0078296277369407,0.7833185340496224,0.39220447604634245,1,-20.327808699686464,46.65561739937293,48.77976800267956,13.20436726107695,13,15,&Delta;M:C
Phyllospadix,nh4_umol_l,,,,0.0335851818653645,-0.035444448001395124,1.0175679082996845,0.48653284003101704,0.4968993232478951,1,-21.913411413498512,49.826822826997024,52.14458899371637,14.496222272019532,14,16,&Delta; Ammonium
Phyllospadix,nn_umol_l,,,,0.0013085132704194354,-0.07002659292455049,1.0344208973742508,0.01834318809091085,0.8941944071052249,1,-22.17623340120253,50.35246680240506,52.670232969124406,14.980372300943706,14,16,&Delta;Nitrate+Nitrite
