name,data,model,tidy,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,nicenames
bix,,,,0.022960862193040665,-0.05031707314248135,1.0248497807691044,0.313339371366134,0.815617019244162,3,-61.41649755143682,132.83299510287364,141.75394327246494,42.01268292569925,40,44,&Delta;BIX
heterotrophic_bacterioplankton_m_l,,,,0.46009088980663054,0.4224228123512792,0.7599849917259688,12.214344901249191,6.506867642597873e-6,3,-51.700385238822285,113.40077047764457,122.65150848619487,24.835819068894992,43,47,&Delta;Heterotrophic bacteria
hix,,,,0.06949513303883229,-2.9273198325530103e-4,1.0001463552816934,0.9958054027994316,0.4046718703921278,3,-60.34291066651383,130.68582133302766,139.60676950261896,40.01170927933021,40,44,&Delta;HIX
m_c,,,,0.2798990216595249,0.22589144828398933,0.8798343888005348,5.1825883698435815,0.004044804532016939,3,-54.703521819626374,119.40704363925275,128.32799180884405,30.964342068640427,40,44,&Delta;M:C
nh4_umol_l,,,,0.4126016255564198,0.37064459881044975,0.7933192303162393,9.833910015943882,4.8977081035269236e-5,3,-52.52846103815134,115.05692207630268,124.20012905874816,26.432926849961113,42,46,&Delta;Ammonium
nn_umol_l,,,,0.37553519878520447,0.33196788707254443,0.8173323148679831,8.619655058406513,1.3556251230766912e-4,3,-55.11949785535941,120.23899571071883,129.4897337192691,28.725380855880598,43,47,&Delta;Nitrate+Nitrite
