pool_id,foundation_spp,day_night,sampling_group,before_after,removal_control,group,time_point,sampling_day,sampling_time,do_mg_l,salinity,temp_pool,po_umol_l,nn_umol_l,nh4_umol_l,ph,dic,alk,omega_aragonite,heterotrophic_bacterioplankton_m_l,synechoococcus_m_l,autotrophic_pico_eukaryotes_m_l,m_c,bix,hix,fi,ultra_violet_humic_like,marine_humic_like,visible_humic_like,tryptophan_like,tyrosine_like,phenylalanine_like
13,Mytilus,Day,1,Before,Control,Before_Control,1,7/8/2019,09:57:00,8.12,34.7,13.5,1.233287,2.1279568,10.0784466,7.664045408,1965.629909,2023.335509,0.917511424,490.66,0.24,0.03,1.188867401,1.285086985,0.453509577,1.730084138,0.045211436,0.059351034,0.049922333,0.1611518,0.402844519,0.065141412
14,Mytilus,Day,1,Before,Control,Before_Control,1,7/8/2019,09:59:00,6.34,34.8,12.8,1.388255,4.4528064,17.296344,7.536069434,2120.010927,2139.179198,0.718596257,579.98,0.35,0.39,2.023649537,2.258173189,0.486185937,1.195506269,0.09142669,0.185408295,0.091620753,0.660624442,0.532907569,0.1425301
15,Mytilus,Day,1,Before,Removal,Before_Removal,1,7/8/2019,10:02:00,8.86,34.6,13.8,2.143724,2.8170816,13.083132,7.919263993,1870.181091,2011.965007,1.561755269,623.41,0.43,0.05,1.075455186,1.146103711,0.642774618,1.454372631,0.06710911,0.086316216,0.08026017,0.336402519,0.39618107,0.099958957
16,Mytilus,Day,1,Before,Removal,Before_Removal,1,7/8/2019,10:05:00,7.2,34.6,14.1,1.330142,6.777656,10.4554182,7.584326104,1938.368867,1975.426469,0.771276303,483.36,0.23,0.35,1.185836673,0.796275483,0.490730688,1.38292327,0.182563634,0.204872943,0.172766577,1.066492,0.602755848,0.196117743
Ocean,Ocean,Day,2,Before,Ocean,Before_Ocean,1,7/9/2019,09:46:00,9.25,34.4,12.3,0.4894406,2.0143648,1.2639636,7.917058677,2090.673553,2229.453523,1.632553873,1019.33,2.12,0.15,0.995740589,0.9326438,1.25353873,1.685302909,0.028286027,0.031432033,0.031566488,0.056478091,0.063785175,0.022195501
17,Mytilus,Day,2,Before,Removal,Before_Removal,1,7/9/2019,09:52:00,9.36,34.6,13.6,0.5410966,2.8322272,4.7232324,7.96819193,1926.059668,2087.214011,1.776635221,549.59,0.59,0.01,1.1817064,0.886039245,1.321407126,1.626005937,0.034651144,0.03954255,0.033462246,0.07619198,0.045121303,0.025377556
18,Phyllospadix,Day,2,Before,Control,Before_Control,1,7/9/2019,09:59:00,8.79,34.5,13.4,0.871695,1.2646576,3.9249396,7.92257031,2024.308586,2170.020961,1.673486383,914.33,1.89,0.05,1.088337184,0.89778909,3.635152354,1.722221392,0.033628115,0.039005565,0.035839596,0.058958539,0.045299703,0.01649419
19,Mytilus,Day,2,Before,Control,Before_Control,1,7/9/2019,09:55:00,8.55,34.6,12.9,0.975007,1.5675696,6.6191778,7.867887093,2048.069378,2171.180709,1.473637263,621.53,0.77,0.01,1.133005646,0.992933081,1.352747609,1.551371568,0.029306947,0.032937351,0.029070774,0.059750629,0.041938735,0.025508411
20,Phyllospadix,Day,2,Before,Control,Before_Control,1,7/9/2019,10:01:00,11.35,34.5,12.9,0.820039,0.9541728,2.938161,8.098958687,1975.939718,2195.316048,2.349954337,920.83,2.07,0.13,1.007191012,0.904788781,1.392987108,1.594370532,0.03387575,0.037362178,0.037095425,0.055633769,0.083026352,0.017686264
21,Phyllospadix,Day,2,Before,Removal,Before_Removal,1,7/9/2019,10:03:00,10.23,34.7,13.6,0.5804843,1.1207744,4.5014844,8.155687515,1899.105694,2149.458696,2.624767103,786.56,1.28,0.07,1.049215343,0.860833969,1.069375412,1.563459567,0.043711096,0.047600529,0.04536774,0.110525705,0.115279906,0.049745548
22,Phyllospadix,Day,2,Before,Removal,Before_Removal,1,7/9/2019,10:06:00,9.89,34.6,13.5,0.4862121,1.4842688,4.5790962,8.08806603,2004.713209,2225.597801,2.387148976,1081.2,2.36,0.16,1.171053018,0.916658003,1.589655371,1.607711423,0.042576959,0.048436601,0.041361579,0.079869389,0.086173929,0.014098162
23,Mytilus,Day,2,Before,Removal,Before_Removal,1,7/9/2019,10:11:00,8.88,34.5,13.7,0.677985,2.9685376,6.0204582,7.794429493,1948.055252,2045.614641,1.226010092,727.96,1.25,0.03,1.023662518,0.975876182,1.220315809,1.681556344,0.03500481,0.038595417,0.037703263,0.075391793,0.107000103,0.035548338
25,Mytilus,Day,2,Before,Control,Before_Control,1,7/9/2019,10:14:00,7.23,34.6,13,1.375341,3.483488,13.637502,7.601468828,2112.551562,2150.920892,0.836180064,639.04,1.23,0.16,1.1346921,0.949617915,1.094538832,1.625577651,0.034560751,0.040616685,0.035795336,0.096216523,0.071820634,0.03196396
26,Phyllospadix,Day,2,Before,Removal,Before_Removal,1,7/9/2019,10:19:00,9.78,34.6,13.1,0.529474,1.3403856,2.106606,8.173141011,1959.993677,2220.209765,2.75354038,1086.22,5.26,0.68,1.052267823,0.939460866,1.033368524,1.687477288,0.039340794,0.044160594,0.041967067,0.096199845,0.108356932,0.027919906
27,Phyllospadix,Day,2,Before,Control,Before_Control,1,7/9/2019,10:21:00,10.62,34.6,13,0.987921,0.71260048,4.0912506,8.136773778,1974.215028,2214.997305,2.558765368,923.63,2.36,0.45,1.032967565,0.933833338,1.172671901,1.647968057,0.036369556,0.040781709,0.039480145,0.073382017,0.10389268,0.024533329
28,Phyllospadix,Day,2,Before,Removal,Before_Removal,1,7/9/2019,10:23:00,10.82,34.7,13.5,0.671528,0.69821216,3.5812302,8.274446438,1856.803691,2173.395645,3.272447117,1047.71,1.84,0.4,1.096943931,0.926921361,1.608776755,1.699188102,0.037655224,0.042326136,0.038585505,0.064454649,0.043275128,0.010682505
29,Phyllospadix,Day,2,Before,Control,Before_Control,1,7/9/2019,10:25:00,12.35,34.6,13.9,0.5585305,0.397572,6.597003,8.483792729,1705.387755,2157.60756,4.605741459,1010.82,1.6,0.37,0.979434769,0.897062767,1.330905351,1.677219346,0.047685588,0.050986928,0.052057502,0.089531129,0.111441071,0.031760796
30,Mytilus,Day,2,Before,Control,Before_Control,1,7/9/2019,10:28:00,9.01,34.6,13.5,1.284943,3.104848,9.535164,7.790204497,1970.125904,2066.901212,1.220625999,537.79,1.07,0.16,1.051095079,0.96919959,1.174251224,1.749348596,0.044275104,0.050392122,0.047942496,0.113914827,0.107045003,0.021006638
31,Mytilus,Day,2,Before,Control,Before_Control,1,7/9/2019,10:32:00,7.6,34.5,13.8,1.594879,3.8091184,11.309148,7.511639005,2125.882911,2141.313178,0.705536388,480.25,1.37,0.15,1.124258073,1.025524628,1.041917554,1.723111808,0.038143561,0.046584999,0.041436215,0.096072613,0.099617902,0.0188348
32,Mytilus,Day,2,Before,Removal,Before_Removal,1,7/9/2019,10:35:00,6.98,34.8,13.2,1.498024,4.202904,12.972258,7.538983046,2069.42177,2091.205472,0.717773512,541.08,1.49,0.08,1.131546861,0.889190858,0.952086319,1.70196642,0.036243658,0.042144095,0.037244675,0.092861246,0.129410122,0.036452836
Ocean,Ocean,Day,1,Before,Ocean,Before_Ocean,4,7/8/2019,12:31:00,10.23,34.4,13.1,0.716727,0.8254352,2.3505288,8.135896888,1961.530569,2200.009584,2.538821385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Phyllospadix,Day,1,Before,Control,Before_Control,4,7/8/2019,12:40:00,12.37,34.9,14.9,0.723184,1.5675696,6.707877,8.134992454,1943.811615,2199.253296,2.709463205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Phyllospadix,Day,1,Before,Removal,Before_Removal,4,7/8/2019,12:55:00,15.93,35.5,17,0.787754,0.44830976,4.213212,8.529326062,1557.599661,2072.508319,5.139947521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Phyllospadix,Day,1,Before,Removal,Before_Removal,4,7/8/2019,12:47:00,13.32,35.2,15.9,0.975007,0.4770864,4.2021246,8.419487511,1743.237006,2182.650403,4.497313462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Phyllospadix,Day,1,Before,Control,Before_Control,4,7/8/2019,12:49:00,11.78,34.9,18.5,0.6360145,0.7724256,9.4575522,8.412589787,1609.784003,2050.019858,4.465166153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Phyllospadix,Day,1,Before,Control,Before_Control,4,7/8/2019,12:51:00,12.63,35.8,18,0.5759644,0.870872,4.5014844,8.331069809,1667.946491,2058.324137,3.931983167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Phyllospadix,Day,1,Before,Removal,Before_Removal,4,7/8/2019,12:52:00,10.47,35.6,19.9,0.923351,4.581544,14.41362,8.304099965,1550.492238,1923.525687,3.697937528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Phyllospadix,Day,1,Before,Removal,Before_Removal,4,7/8/2019,13:04:00,11.49,35.4,14.9,1.252658,0.5225232,5.4217386,8.184524533,1970.472847,2262.05877,3.070174947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Phyllospadix,Day,1,Before,Control,Before_Control,4,7/8/2019,13:06:00,9.16,34.9,18.4,2.602171,2.385432,17.18547,8.053282714,1868.818856,2104.79222,2.501928899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Mytilus,Day,1,Before,Control,Before_Control,4,7/8/2019,13:11:00,8.98,36.5,16.7,2.32452,9.163088,20.400816,7.554653056,2033.750889,2079.014392,0.866690017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Mytilus,Day,1,Before,Removal,Before_Removal,4,7/8/2019,13:12:00,8.61,36.2,16,4.435959,16.887344,23.616162,7.582826478,1989.671303,2041.491084,0.87509513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Mytilus,Day,1,Before,Removal,Before_Removal,4,7/8/2019,13:13:00,6.21,35.5,17.1,2.5828,12.11648,25.50102,7.365472794,2004.670281,1995.134558,0.551540005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Mytilus,Day,1,Before,Control,Before_Control,4,7/8/2019,13:15:00,11.68,34.7,20.9,1.756304,3.4986336,12.417888,8.038375478,1625.987564,1851.484783,2.312129836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Mytilus,Day,1,Before,Control,Before_Control,4,7/8/2019,13:17:00,6.63,35.7,19.7,2.847537,8.254352,33.151326,7.393315528,1867.599383,1876.960085,0.611885891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Mytilus,Day,1,Before,Control,Before_Control,4,7/8/2019,13:19:00,6.03,37.6,15.5,3.609463,12.49512,28.82724,7.483068352,2185.228835,2208.282829,0.765141263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Mytilus,Day,1,Before,Removal,Before_Removal,4,7/8/2019,13:20:00,7.79,35.3,19.3,1.640078,3.6879536,14.524494,7.880789536,1768.685523,1925.448324,1.701871045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Mytilus,Day,1,Before,Removal,Before_Removal,4,7/8/2019,13:23:00,6.73,34.5,19.3,2.098525,18.704816,18.959454,7.482405022,1803.027498,1831.502564,0.699975519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean,Ocean,Day,2,Before,Ocean,Before_Ocean,4,7/9/2019,13:08:00,10.1,34.5,12.9,0.626329,2.4838784,4.1356002,8.126586063,1908.141172,2136.502118,2.407057887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Mytilus,Day,2,Before,Removal,Before_Removal,4,7/9/2019,13:14:00,9.84,34.2,17.4,1.956471,3.2032944,19.181202,7.923355047,1570.108212,1717.065267,1.51242472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Phyllospadix,Day,2,Before,Control,Before_Control,4,7/9/2019,13:20:00,9.37,34.9,16,1.181631,1.249512,9.257979,7.929803523,1905.70259,2067.103794,1.783480048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Mytilus,Day,2,Before,Control,Before_Control,4,7/9/2019,13:17:00,10.11,34.7,15.7,2.046869,3.4986336,13.526628,7.904825004,1791.228119,1935.138547,1.563515273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Phyllospadix,Day,2,Before,Control,Before_Control,4,7/9/2019,13:24:00,17.31,34.7,15.5,1.433454,0.8254352,7.4507328,8.478012132,1558.334518,2002.40702,4.402591141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Phyllospadix,Day,2,Before,Removal,Before_Removal,4,7/9/2019,13:27:00,11.66,34.3,17.5,1.562594,3.5743616,9.6793002,8.391707956,1583.97693,1986.410009,4.044327611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Phyllospadix,Day,2,Before,Removal,Before_Removal,4,7/9/2019,13:28:00,10.53,34.9,16.6,1.426997,4.202904,8.7923082,8.111262457,1954.157068,2212.682292,2.762354386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Mytilus,Day,2,Before,Removal,Before_Removal,4,7/9/2019,13:33:00,8.1,34.2,17.6,1.207459,6.588336,14.746242,7.66350521,1631.644252,1698.886825,0.88920495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Mytilus,Day,2,Before,Removal,Before_Removal,4,7/9/2019,13:35:00,8.92,34.3,16.4,1.878987,3.0897024,19.181202,7.681655558,1786.099466,1857.540608,0.968112671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Mytilus,Day,2,Before,Control,Before_Control,4,7/9/2019,13:37:00,8.63,35,14.8,3.021876,7.724256,25.722768,7.461797891,2112.24412,2119.840332,0.6563683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Phyllospadix,Day,2,Before,Removal,Before_Removal,4,7/9/2019,13:40:00,5.25,35.1,15.1,0.749012,2.2642672,7.7168304,8.224542801,1902.628422,2211.618133,3.229628761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Phyllospadix,Day,2,Before,Control,Before_Control,4,7/9/2019,13:43:00,9.07,35,14.2,1.885444,2.3702864,8.2712004,7.927971537,2102.864694,2262.964737,1.830434333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Phyllospadix,Day,2,Before,Removal,Before_Removal,4,7/9/2019,13:45:00,9.83,35,15.4,0.665071,0.8784448,3.3040452,8.442958218,1659.266287,2094.481777,4.389035819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Phyllospadix,Day,2,Before,Control,Before_Control,4,7/9/2019,13:46:00,15.39,34.9,17.2,0.8297245,0.5982512,6.65244,8.80751382,1202.200385,1865.748954,6.314957988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Mytilus,Day,2,Before,Control,Before_Control,4,7/9/2019,13:49:00,7.46,34.6,15.8,2.892736,12.11648,22.840044,7.560709139,1979.62525,2018.268147,0.799397968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Mytilus,Day,2,Before,Control,Before_Control,4,7/9/2019,13:51:00,6.7,34.2,16.4,2.272864,6.8836752,19.735572,7.446674619,2098.906983,2105.539715,0.662844038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Mytilus,Day,2,Before,Removal,Before_Removal,4,7/9/2019,13:52:00,7.67,34.7,14.9,2.13081,6.0128032,18.405084,7.608998185,2005.130885,2053.771719,0.873509119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean,Ocean,Day,1,Before,Ocean,Before_Ocean,5,7/8/2019,13:31:00,8.41,34.5,13.3,0.690899,1.1132016,1.9735572,8.17929179,1921.236974,2182.808324,2.750328999,677.13,0.15,1.09,0.960126619,0.850849999,1.490476291,1.771296117,0.024889881,0.026973718,0.028093917,0.030328043,0.040169804,0.001216182
1,Phyllospadix,Day,1,Before,Control,Before_Control,5,7/8/2019,13:39:00,11.89,35.2,16.1,0.794211,2.1052384,4.9671552,8.223830019,1879.35407,2196.353682,3.309629725,698.19,0.44,0.25,1.082278196,0.877355505,1.029458593,1.651344912,0.072955471,0.083613644,0.077257071,0.148004219,0.235256276,0.044804681
2,Phyllospadix,Day,1,Before,Removal,Before_Removal,5,7/8/2019,13:41:00,14.83,34.8,19,1.084776,0.55811536,5.9095842,8.566711436,1502.124272,2057.596964,5.606731882,725.26,0.32,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Phyllospadix,Day,1,Before,Removal,Before_Removal,5,7/8/2019,13:43:00,14.24,35.2,17.3,0.787754,0.32714496,8.0494524,8.462869238,1681.541405,2164.36571,4.940922638,835.87,0.16,0.13,1.050189148,0.972059316,0.742954215,1.632033887,0.067385786,0.077428039,0.073727708,0.166679675,0.424239246,0.048292818
4,Phyllospadix,Day,1,Before,Control,Before_Control,5,7/8/2019,13:49:00,9.92,36.6,19.3,0.755469,0.870872,8.3598996,8.427714485,1543.790193,2013.323766,4.621705158,523.03,0.12,0.2,0.98811943,0.816416926,0.838896731,1.608170696,0.111330392,0.121103317,0.122559392,0.251403742,0.630012226,0.087151231
5,Phyllospadix,Day,1,Before,Control,Before_Control,5,7/8/2019,13:54:00,7.77,35.8,22.4,0.71027,1.4312592,5.7543606,8.226828275,1637.517643,1997.562756,3.676089634,803.51,0.39,0.19,1.053552102,0.872266795,1.849878576,1.733440667,0.162290796,0.185403032,0.175978988,0.260183893,0.231471157,0.03492679
6,Phyllospadix,Day,1,Before,Removal,Before_Removal,5,7/8/2019,14:00:00,9.88,34.6,18.1,0.994378,5.831056,10.7326032,8.295908364,1583.427165,1927.174013,3.437848597,491.28,0.27,0.43,1.081459533,0.890123173,1.673740065,1.681681263,0.208142535,0.2390671,0.221059681,0.368794644,0.311174382,0.054869245
7,Phyllospadix,Day,1,Before,Removal,Before_Removal,5,7/8/2019,14:02:00,10.8,34.6,16.1,1.278486,1.1056288,7.3287714,8.166117257,1993.690798,2281.37481,3.088064758,926.39,0.91,0.45,1.157853473,0.959935559,0.531095072,1.48108546,0.08855053,0.107160863,0.092551316,0.418392095,0.530559691,0.078466132
8,Phyllospadix,Day,1,Before,Control,Before_Control,5,7/8/2019,14:05:00,9.54,36.3,21.6,2.3019205,2.2756264,16.797411,8.027907117,1819.407835,2072.90464,2.658681929,873.43,0.44,0.32,1.103842683,0.783139428,2.258969026,1.604712412,0.140401457,0.156055476,0.141374744,0.203037141,0.123156192,0.025830621
9,Mytilus,Day,1,Before,Control,Before_Control,5,7/8/2019,14:21:00,7.77,36.6,18.9,2.51823,9.84464,21.398682,7.434478564,2061.777604,2080.410017,0.729500168,454.8,0.6,0.19,0.917742769,0.834161238,1.544192373,1.76254814,0.095050413,0.098870836,0.107732624,0.180949934,0.158182889,0.038302541
10,Mytilus,Day,1,Before,Removal,Before_Removal,5,7/8/2019,14:23:00,7.93,35.7,18,4.674868,19.537824,23.394414,7.493952875,2047.307082,2079.967613,0.789882705,445.41,0.55,0.2,1.136159021,0.997224052,0.566215492,1.406785968,0.131848707,0.150202957,0.132202406,0.92081686,0.502081927,0.151290386
11,Mytilus,Day,1,Before,Removal,Before_Removal,5,7/8/2019,14:26:00,4.85,36.1,19.5,2.957306,12.267936,23.505288,7.345527628,2046.858478,2041.029679,0.598892702,326.17,0.92,0.09,1.018876603,0.896388896,1.864363945,1.657080001,0.066436798,0.073561109,0.072198251,0.126371102,0.088399845,0.009825575
12,Mytilus,Day,1,Before,Control,Before_Control,5,7/8/2019,14:19:00,13.34,34.6,24.2,2.395547,8.481536,20.844312,8.011354978,1554.651675,1785.209411,2.3636347619999998,516.91,1.21,0.25,0.952635877,1.56067174,1.594197717,1.899548496,0.221935717,0.282582444,0.296632166,0.767228541,0.951869773,0.209415936
13,Mytilus,Day,1,Before,Control,Before_Control,5,7/8/2019,14:15:00,5.87,36.6,20.4,3.03479,11.586384,46.788828,7.273731318,1876.253883,1857.182159,0.485144698,294.99,0.51,0.04,1.086283194,1.266586163,0.793972723,1.653160299,0.256432572,0.320299946,0.294858604,1.617145153,1.260467882,0.320070667
14,Mytilus,Day,1,Before,Control,Before_Control,5,7/8/2019,14:11:00,7.8,33.1,22.1,3.183301,10.60192,32.818704,7.409678315,2173.562781,2187.972506,0.780480307,431.87,0.72,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Mytilus,Day,1,Before,Removal,Before_Removal,5,7/8/2019,14:12:00,9.2,35.4,17.7,0.962093,1.9159184,9.368853,7.47066735,1803.993008,1824.963258,0.648443518,720.75,1,1.08,0.84712278,0.786866486,0.444320387,1.280636734,0.112767578,0.134993599,0.159355412,0.687527906,0.840186818,0.150829351
16,Mytilus,Day,1,Before,Removal,Before_Removal,5,7/8/2019,14:29:00,6.1,35.1,21.4,2.247036,23.28636,22.063926,7.439587191,2099.724531,2125.19446,0.812760078,341.38,0.45,0.21,1.023820255,0.966212381,1.622993821,1.658347227,0.113534885,0.130162304,0.127133941,0.306216099,0.183233143,0.056124697
Ocean,Ocean,Day,2,Before,Ocean,Before_Ocean,5,7/9/2019,14:03:00,10.16,34.5,13,0.4022711,1.8023264,2.5057524,8.101822685,1945.945172,2164.963392,2.337388016,760.33,2.77,0.92,1.16951533,0.959703014,0.878806206,1.583864555,0.031945959,0.037996236,0.032488874,0.131807327,0.080489878,0.002870565
17,Mytilus,Day,2,Before,Removal,Before_Removal,5,7/9/2019,14:12:00,9.43,33.8,17.5,2.395547,4.0211568,21.842178,7.444008214,1631.221065,1643.720699,0.531713902,203.19,0.64,0.12,1.100676389,0.471442929,0.572038597,1.608350763,0.35729439,0.402818684,0.365973766,1.47336431,0.612647461,0.211746315
18,Phyllospadix,Day,2,Before,Control,Before_Control,5,7/9/2019,14:26:00,8.64,34.7,16.4,1.433454,1.3328128,15.189738,7.86974828,1886.561747,2024.662976,1.566861325,569.61,0.39,0.17,1.012093954,0.839642494,0.849618761,1.46156702,0.075428394,0.085253789,0.084235054,0.315462409,0.195659385,0.05849409
19,Mytilus,Day,2,Before,Control,Before_Control,5,7/9/2019,14:16:00,9.81,34.4,16.1,1.795046,4.6118352,19.624698,7.836335456,1694.176593,1810.018295,1.28508076,237.3,0.59,0.09,0.980692199,0.965358185,1.324635957,1.694951603,0.066641061,0.074230432,0.075691876,0.223473025,0.132262073,0.038239468
