pool_id,foundation_spp,day_night,sampling_group,before_after,removal_control,group,time_point,sampling_day,sampling_time,do_mg_l,salinity,temp_pool,po_umol_l,nn_umol_l,nh4_umol_l,ph,dic,alk,omega_aragonite,heterotrophic_bacterioplankton_m_l,synechoococcus_m_l,autotrophic_pico_eukaryotes_m_l,m_c,bix,hix,fi,ultra_violet_humic_like,marine_humic_like,visible_humic_like,tryptophan_like,tyrosine_like,phenylalanine_like
Ocean,Ocean,Day,1,Before,Ocean,Before_Ocean,1,7/8/2019,08:48:00,8.28,34.3,11.9,0.77484,1.400968,2.4281406,7.907910954,2067.783141,2199.554384,1.554911263,761.49,1.17,1.83,1.335136477,1.163542383,0.664352912,1.591922725,0.033758951,0.042722806,0.031998831,0.177963479,0.101505667,0.055506103
1,Phyllospadix,Day,1,Before,Control,Before_Control,1,7/8/2019,08:59:00,9.1,34.6,12.6,0.3841915,1.2419392,6.375255,7.953172453,2081.574562,2237.472545,1.78698342,777.42,2.01,0.36,1.24225423,1.123010385,0.398228951,1.050466629,0.042776194,0.051800318,0.041698645,0.218977524,0.336566059,0.089651264
2,Phyllospadix,Day,1,Before,Removal,Before_Removal,1,7/8/2019,09:04:00,9.99,34.7,12.8,0.975007,0.33471776,4.5125718,8.130549774,1985.138322,2222.401683,2.524134372,750.45,0.83,0.4,1.190824634,1.193124429,0.758800519,1.541526114,0.047294927,0.061324968,0.0514979,0.133192508,0.215009003,0.061031071
3,Phyllospadix,Day,1,Before,Removal,Before_Removal,1,7/8/2019,09:07:00,10.28,34.8,12.7,0.832953,0.57704736,3.7253664,8.059416363,2036.032538,2240.044426,2.21844068,805.11,1.01,0.37,1.247830879,1.255948451,0.654877262,1.69178157,0.046485777,0.061720457,0.049462198,0.157055702,0.157692547,0.057246784
4,Phyllospadix,Day,1,Before,Control,Before_Control,1,7/8/2019,09:10:00,10.21,34.9,13.2,0.4913777,0.53161056,3.991464,8.149466065,1941.448658,2189.777955,2.617119656,756.37,0.87,0.52,1.13519049,0.916586307,1.460415586,1.602482052,0.041977611,0.047061742,0.041457132,0.075167968,0.062281703,0.009810572
5,Phyllospadix,Day,1,Before,Control,Before_Control,1,7/8/2019,09:13:00,11.72,34.5,13.4,0.5184971,0.72017328,1.9846446,8.329342538,1790.725893,2133.011733,3.504677956,744.92,0.28,0.32,0.998011301,0.893500653,0.687359142,1.692466434,0.050150393,0.055234741,0.055344805,0.112299347,0.276233305,0.0492791
6,Phyllospadix,Day,1,Before,Removal,Before_Removal,1,7/8/2019,09:17:00,9.66,34.6,13.8,2.7926525,1.4236864,0.5710011,8.1535448679999991,1857.21542,2106.285977,2.570452413,588.77,0.48,0.25,1.05436088,0.887357578,0.966548447,1.613011271,0.082056426,0.090958512,0.08626886,0.206996567,0.2215176,0.056608849
7,Phyllospadix,Day,1,Before,Removal,Before_Removal,1,7/8/2019,09:37:00,10.34,34.6,13.1,0.942722,0.46421264,6.7854888,8.1035711,1994.869828,2220.360883,2.418310407,653.51,0.72,0.61,0.994156181,0.983295767,2.292653971,1.78973923,0.041816074,0.047556251,0.047835795,0.053026374,0.042780055,0.022943437
8,Phyllospadix,Day,1,Before,Control,Before_Control,1,7/8/2019,09:42:00,9.47,34.5,13.5,1.233287,0.511164,7.428558,8.111634752,1964.55801,2194.918693,2.455934718,1112.81,1,0.76,1.083144913,1.136376671,0.934799043,1.672745358,0.062096295,0.076188642,0.070340211,0.150212328,0.256670348,0.040797677
9,Mytilus,Day,1,Before,Control,Before_Control,1,7/8/2019,09:47:00,7.63,34.5,12.8,1.265572,2.8246544,10.5662922,7.777739752,2016.707574,2106.757949,1.179548557,594.85,0.48,0.12,1.235262203,0.972418138,0.395555598,0.996660779,0.056716006,0.066976397,0.054220389,0.444897879,0.348308845,0.107087879
10,Mytilus,Day,1,Before,Removal,Before_Removal,1,7/8/2019,09:50:00,7.86,34.1,12.8,1.801503,4.3316416,10.6328166,7.767084575,2031.860745,2117.89949,1.151974534,595.18,0.67,0.11,1.124635416,0.937513051,1.145686865,1.579044948,0.036453157,0.040860781,0.036332469,0.114226286,0.06370099,0.01592748
11,Mytilus,Day,1,Before,Removal,Before_Removal,1,7/8/2019,09:52:00,6.29,34.6,13.1,1.181631,4.9147472,16.741974,7.456779275,2030.358237,2028.43234,0.577557471,451.76,0.23,0.03,0.966321178,1.052164773,1.0594286,1.546541692,0.045106769,0.052608769,0.054442322,0.142060914,0.157228868,0.051649772
12,Mytilus,Day,1,Before,Control,Before_Control,1,7/8/2019,09:54:00,9.48,34.6,13.6,1.233287,2.6580528,9.4464648,7.867959962,1930.447989,2053.454057,1.428094995,515.79,0.51,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
