Plate,Well,Id_code,Heterotrophic Bacterioplankton/μL,Synechoococcus/μL,Autotrophic PicoEukaryotes/μL,Notes,Total sample RU after blank subtraction,M:C,BIX,HIX,FI,Ultra Violet Humic-like,Marine Humic-like,Visible Humic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Fulvic Acid-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
Plate1,A1,N2_Ocean_1_BC,1353.55,13.4,3.01,NA,114.8816473,1.156209098,0.988504384,0.535177806,1.58385929,0.033583959,0.038270116,0.03309965,0.157656334,0.180126446,0.046388004,0.014562853,0.144230059,0.041764233,0.053243361,0.032444252,0.071819743,0.014359021
Plate1,A2,N1_Ocean_1_BC,1479.06,17.21,2.72,NA,74.70080607,1.251553855,0.920195736,1.175064005,1.535126759,0.030599992,0.035817062,0.028618075,0.078580445,0.061744933,0.026584967,0.013120329,0.051507621,0.036111436,0.042700368,0.031366273,0.063042603,0.013047289
Plate1,A3,N2_Ocean_4_BC,1189.81,8.43,2.26,NA,120.0971315,1.22942234,0.854959835,0.540335308,1.532815279,0.040354643,0.046141715,0.037531216,0.154552378,0.268889002,0.051441368,0.018383557,0.190112726,0.052629381,0.018582039,0.038011744,0.088576167,0.017697182
Plate1,A4,N1_Ocean_5_BC,1073.01,16.24,2.7,NA,79.43326629,1.295405331,0.855760041,1.427688187,1.541075185,0.040011762,0.046203254,0.035667025,0.062677216,0.063026392,0.036501663,0.017009147,0.051521026,0.046729972,0.021330479,0.03578182,0.070851838,0.015724165
Plate1,A5,N_1_1_BC,1305.04,10.48,2,NA,115.745871,1.169440839,0.935173721,0.773582031,1.619540449,0.047475299,0.054811973,0.046870241,0.152183644,0.159603933,0.052378855,0.019622348,0.128310228,0.057502933,0.059553846,0.045116395,0.095361846,0.020624611
Plate1,A6,N_17_1_BC,764.06,5.56,0.26,NA,424.9048232,0.99551539,1.176572943,1.022639589,1.854188001,0.17908756,0.247607341,0.248722766,0.739866085,0.393455403,0.133181138,0.069657929,0.413145536,0.282469193,0.375320108,0.196575414,0.338712096,0.052767331
Plate1,A7,N_1_4_BC,1418.03,8.02,1.56,NA,155.0787459,1.055227973,0.974379104,0.853159514,1.30002924,0.055508566,0.064585956,0.06120569,0.206788904,0.205821176,0.045373815,0.031079643,0.151907226,0.068529591,0.085166674,0.05561866,0.052626149,0.032798004
Plate1,A8,N_2_1_BC,1278.62,10.26,2.08,NA,116.1249539,1.27022176,1.06250014,0.845678055,1.647892346,0.054102201,0.067541043,0.053172639,0.14760631,0.092275031,0.044102134,0.019450721,0.105314006,0.068507498,0.071350004,0.044275493,0.103440391,0.01902352
Plate1,A9,N_18_1_BC,2802.22,7.04,0.35,NA,257.7286523,1.252116248,1.364832035,0.482471791,1.277271397,0.06604858,0.089914698,0.071810184,0.557780552,0.307065212,0.092422179,0.040545312,0.287247158,0.081270899,0.334282757,0.086741632,0.134337336,0.03934127
Plate1,A10,N_1_1_BC_d,1495.95,11.27,1.98,duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate1,A11,N_2_4_BC,1834.2,7.85,1.3,NA,121.3664664,1.210680369,0.990330919,0.778082922,1.56965386,0.052220108,0.063446747,0.052405861,0.136702064,0.240320883,0.079424377,0.02283569,0.159582882,0.069074595,0.019908965,0.04508872,0.108210594,0.022787605
Plate1,A12,N_18_5_BC,1314.42,5.44,0.32,NA,161.6740058,1.271318625,1.044898577,0.810235276,1.687858934,0.067302571,0.088246761,0.069413567,0.220726309,0.177005397,0.078291464,0.025818388,0.153633035,0.088535112,0.09925644,0.054499575,0.123504301,0.024511586
Plate1,B1,N_3_1_BC,1257.8,10.77,2.02,NA,118.8302876,1.37053109,1.189159486,1.035795458,1.237894161,0.047053071,0.061432137,0.0448236,0.148899417,0.084068876,0.046880966,0.021815341,0.077257972,0.059693203,0.086378485,0.040342356,0.087243073,0.02418622
Plate1,B2,N_16_1_BC,754.78,3.03,0.07,NA,326.4317884,1.608988403,0.826772097,0.556849408,1.420536404,0.117252653,0.147943335,0.091948043,0.74426411,0.354797467,0.107359975,0.054929174,0.378762084,0.1192906,0.404740944,0.116560652,0.169228254,0.052253114
Plate1,B3,N_19_1_BC,449.41,3.6,0.09,NA,127.4868424,1.207466189,1.013206973,0.965493173,1.605022793,0.048152164,0.060382912,0.050007952,0.166560413,0.100258036,0.037967089,0.020915545,0.097309492,0.060364963,0.088374466,0.045604975,0.092101707,0.020582229
Plate1,B4,N_32_1_BC,1078.93,2.77,0.03,NA,89.32255637,1.105165005,0.83921518,0.533805744,1.590507616,0.035339559,0.039884163,0.036088876,0.10918851,0.212117444,0.038344781,0.015894798,0.152650621,0.04748647,0.008438042,0.038476305,0.07496732,0.01432043
Plate1,B5,N_15_1_BC_d,1268.1,7.26,0.6,duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate1,B6,N_3_4_BC,1434.21,8.94,1.81,NA,83.78491824,1.180386609,0.927313048,1.809411186,1.583149214,0.042994564,0.050065115,0.042414167,0.065187262,0.046571699,0.017870898,0.019740541,0.038562291,0.051231962,0.036816146,0.045371047,0.08587336,0.019516578
Plate1,B7,N_16_4_BC,826.2,2.08,0.32,NA,368.9399765,1.177273782,1.399947644,0.754951111,1.553157628,0.116986022,0.174467338,0.148196062,0.724824059,0.426446933,0.124635615,0.066508553,0.407645793,0.168065131,0.386506363,0.159170923,0.23778043,0.055907086
Plate1,B8,N_19_5_BC,1133.02,4.98,0.36,NA,463.6040106,1.582288716,1.039517265,0.349217521,1.470598366,0.092046699,0.121085822,0.076525744,0.901765187,0.41108982,0.156085997,0.043827642,0.324098263,0.097177582,0.663903831,0.076794585,0.220934203,0.045700585
Plate1,B9,N_32_5_BC,1030.54,3.82,0.15,NA,330.016614,1.333836601,0.698469725,0.516588709,1.48402342,0.109705905,0.117989912,0.088459045,0.577896651,0.385328327,0.115573102,0.03743062,0.419946371,0.112233622,0.217632807,0.076136345,0.158000269,0.044945535
Plate1,B10,N_4_1_BC,1125.68,8.01,1.75,NA,173.6951868,1.167873983,1.017723649,0.45053812,1.07262635,0.057709695,0.071589582,0.061299064,0.26918432,0.318904323,0.069704559,0.0293066,0.251116956,0.074390665,0.083432791,0.042832878,0.116127484,0.035902671
Plate1,B11,N_15_1_BC,1132.97,7.77,0.73,NA,235.4855022,1.39178943,1.174726168,0.351857985,1.661504868,0.059163541,0.07672212,0.055124805,0.496959543,0.457178762,0.126350824,0.022057938,0.428286702,0.076962883,0.15603856,0.041682624,0.134357334,0.02074903
Plate1,B12,N_20_1_BC,1515.75,16.02,1.76,NA,91.82774362,1.095765238,0.92558907,0.863811112,1.648284085,0.039553308,0.045654126,0.041664149,0.081752828,0.140866243,0.041208361,0.022112546,0.113195469,0.04995553,0.013931969,0.055557234,0.106328987,0.017785656
Plate1,C1,N_31_1_BC,942.83,5.21,0.1,NA,292.8331971,1.074366691,1.056838681,0.441582477,1.310445591,0.061635483,0.078053089,0.072650325,0.753453236,0.440175925,0.108607197,0.034649664,0.496065865,0.076229662,0.318271361,0.081517939,0.131378432,0.03228382
Plate1,C2,N_4_4_BC_d,984.12,6.68,0.9,duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plate1,C3,N_4_4_BC,1179.47,7.58,1.06,NA,106.0087125,1.087675114,0.846812951,1.085011019,1.55365211,0.049187053,0.056660405,0.052093133,0.122228932,0.10423664,0.029825572,0.02124225,0.080995713,0.061282166,0.063488978,0.051672295,0.102089448,0.022068398
