Plate,Well,Id_code,Heterotrophic Bacterioplankton/μL,Synechoococcus/μL,Autotrophic PicoEukaryotes/μL,Notes
Plate4,A4,D_3_1_BC,805.11,1.01,0.37,
Plate4,A5,D_4_1_BC,756.37,0.87,0.52,
Plate4,A6,D_5_1_BC,744.92,0.28,0.32,
Plate4,A7,D_6_1_BC,588.77,0.48,0.25,
Plate4,A8,D_7_1_BC,653.51,0.72,0.61,
Plate4,A9,D_8_1_BC,1112.81,1,0.76,
Plate4,A10,D_9_1_BC,594.85,0.48,0.12,
Plate4,A11,D_10_1_BC,595.18,0.67,0.11,
Plate4,A12,D_11_1_BC,451.76,0.23,0.03,
Plate4,B1,D_12_1_BC,515.79,0.51,0.15,
Plate4,B2,D_13_1_BC,490.66,0.24,0.03,
Plate4,B3,D_14_1_BC,579.98,0.35,0.39,
Plate4,B4,D_15_1_BC,623.41,0.43,0.05,
Plate4,B5,D_16_1_BC,483.36,0.23,0.35,
Plate4,B6,D2_Ocean_1_BC,1019.33,2.12,0.15,
Plate4,B7,D_17_1_BC,549.59,0.59,0.01,
Plate4,B8,D_18_1_BC,914.33,1.89,0.05,
Plate4,B9,D_19_1_BC,621.53,0.77,0.01,
Plate4,B10,D_20_1_BC,920.83,2.07,0.13,
Plate4,B11,D_21_1_BC,786.56,1.28,0.07,
Plate4,B12,D_22_1_BC,1081.2,2.36,0.16,
Plate4,C1,D_23_1_BC,727.96,1.25,0.03,
Plate4,C2,D_24_1_BC,622.72,0.91,0.03,
Plate4,C3,D_25_1_BC,639.04,1.23,0.16,
Plate4,C4,D_26_1_BC,1086.22,5.26,0.68,
Plate4,C5,D_27_1_BC,923.63,2.36,0.45,
Plate4,C6,D_28_1_BC,1047.71,1.84,0.4,
Plate4,C7,D_29_1_BC,1010.82,1.6,0.37,
Plate4,C8,D_30_1_BC,537.79,1.07,0.16,
Plate4,C9,D_31_1_BC,480.25,1.37,0.15,
Plate4,C10,D_32_1_BC,541.08,1.49,0.08,
Plate4,C11,D2_Ocean_5_BC,760.33,2.77,0.92,
Plate4,C12,D_1_5_BC,698.19,0.44,0.25,
Plate4,D1,D_2_5_BC,725.26,0.32,0.03,
Plate4,D2,D_3_5_BC,835.87,0.16,0.13,
Plate4,D3,D_4_5_BC,523.03,0.12,0.2,
Plate4,D4,D_5_5_BC,803.51,0.39,0.19,
Plate4,D5,D_6_5_BC,491.28,0.27,0.43,
Plate4,D6,D_7_5_BC,926.39,0.91,0.45,
Plate4,D7,D_8_5_BC,873.43,0.44,0.32,
Plate4,D8,D_9_5_BC,454.8,0.6,0.19,
Plate4,D9,D_10_5_BC,445.41,0.55,0.2,
Plate4,D10,D_11_5_BC,326.17,0.92,0.09,
Plate4,D11,D_12_5_BC,516.91,1.21,0.25,
Plate4,D12,D_13_5_BC,294.99,0.51,0.04,
Plate4,E1,D_14_5_BC,431.87,0.72,0.76,
Plate4,E2,D_15_5_BC,720.75,1,1.08,
Plate4,E3,D_16_5_BC,341.38,0.45,0.21,
Plate4,E4,D1_5_Ocean_BC,677.13,0.15,1.09,
Plate4,E5,D_17_5_BC,203.19,0.64,0.12,
Plate4,E6,D_18_5_BC,569.61,0.39,0.17,
Plate4,E7,D_19_5_BC,237.3,0.59,0.09,
Plate4,E8,D_20_5_BC,537.99,0.67,0.43,
Plate4,E9,D_21_5_BC,395.23,0.4,0.13,
Plate4,E10,D_22_5_BC,677.8,0.67,0.53,
Plate4,E11,D_23_5_BC,387.75,11.5,0.93,
Plate4,E12,D_24_5_BC,263.83,21.88,0.4,
Plate4,F1,D_25_5_BC,433.39,2.91,2.72,
Plate4,F2,D_26_5_BC,1341.97,3.86,1.52,labeled time point 1 but in time point 5 grouping
Plate4,F3,D_27_5_BC,879.75,69.78,2.65,
Plate4,F4,D_28_5_BC,1251.33,3.01,1.12,
Plate4,F5,D_29_5_BC,639.28,92.15,5.61,
Plate4,F6,D_30_5_BC,312.02,0.48,0.21,
Plate4,F7,D_31_5_BC,180.76,14.99,1.03,
Plate4,F8,D_32_5_BC,281.94,5.92,0.39,
Plate4,F9,Blank_Stained,3.32,0.33,0,
Plate4,F10,Blank_Stained,2.27,0.27,0,
Plate4,G1,Blank,0.79,0.17,0,
Plate4,G2,Blank,1.09,0.25,0,
