Plate,Well,Id_code,Heterotrophic Bacterioplankton/μL,Synechoococcus/μL,Autotrophic PicoEukaryotes/μL,Notes
Plate1,A1,N2_Ocean _1_BC,1353.55,13.4,3.01,
Plate1,A2,N1_Ocean_1_BC,1479.06,17.21,2.72,
Plate1,A3,N2_Ocean_4_BC,1189.81,8.43,2.26,
Plate1,A4,N1_Ocean_5_BC,1073.01,16.24,2.7,
Plate1,A5,N_1_1_BC,1305.04,10.48,2,
Plate1,A6,N_17_1_BC,764.06,5.56,0.26,
Plate1,A7,N_1_4_BC,1418.03,8.02,1.56,
Plate1,A8,N_2_1_BC,1278.62,10.26,2.08,
Plate1,A9,N_18_1_BC,2802.22,7.04,0.35,
Plate1,A10,N_1_1_BC_d,1495.95,11.27,1.98,duplicate
Plate1,A11,N_2_4_BC,1834.2,7.85,1.3,
Plate1,A12,N_18_5_BC,1314.42,5.44,0.32,
Plate1,B1,N_3_1_BC,1257.8,10.77,2.02,
Plate1,B2,N_16_1_BC,754.78,3.03,0.07,
Plate1,B3,N_19_1_BC,449.41,3.6,0.09,
Plate1,B4,N_32_1_BC,1078.93,2.77,0.03,
Plate1,B5,N_15_1_BC_d,1268.1,7.26,0.6,duplicate
Plate1,B6,N_3_4_BC,1434.21,8.94,1.81,
Plate1,B7,N_16_4_BC,826.2,2.08,0.32,
Plate1,B8,N_19_5_BC,1133.02,4.98,0.36,
Plate1,B9,N_32_5_BC,1030.54,3.82,0.15,
Plate1,B10,N_4_1_BC,1125.68,8.01,1.75,
Plate1,B11,N_15_1_BC,1132.97,7.77,0.73,
Plate1,B12,N_20_1_BC,1515.75,16.02,1.76,
Plate1,C1,N_31_1_BC,942.83,5.21,0.1,
Plate1,C2,N_4_4_BC_d,984.12,6.68,0.9,duplicate
Plate1,C3,N_4_4_BC,1179.47,7.58,1.06,
Plate1,C4,N_15_4_BC,1006.57,5,0.44,
Plate1,C5,N_20_5_BC,1651.63,11.93,1.49,
Plate1,C6,N_31_5_BC,1027.36,5.65,0.32,
Plate1,C7,N_5_1_BC,1123.92,5.95,1,
Plate1,C8,N_14_1_BC,692.18,4.55,0.3,
Plate1,C9,N_21_1_BC,992.68,8.12,0.44,
Plate1,C10,N_30_1_BC,907.79,9.06,0.28,
Plate1,C11,N_5_4_BC,1144.73,6.36,0.59,
Plate1,C12,N_14_4_BC,855.84,3.91,0.41,
Plate1,D1,N_21_5_BC,1185.47,5.89,0.26,
Plate1,D2,N_30_5_BC,1217.04,4.56,0.37,
Plate1,D3,N_6_1_BC,938.1,4.61,1.03,
Plate1,D4,N_13_1_BC,975.34,5.49,0.29,
Plate1,D5,N_22_1_BC,1888.17,14.68,2.04,
Plate1,D6,N_29_1_BC,1709.31,17.11,2.12,
Plate1,D7,N_6_4_BC,730.31,3.01,0.62,
Plate1,D8,N_13_4_BC,357.34,3.43,0.35,
Plate1,D9,N_22_5_BC,2154.62,13.6,1.81,
Plate1,D10,N_29_5_BC,1662.32,10.22,1.09,
Plate1,D11,N_7_1_BC,1651.01,14.21,2.21,
Plate1,D12,N_12_1_BC,1113.9,6.22,2.23,
Plate1,E1,N_23_1_BC,1015.05,4.56,0.03,
Plate1,E2,N_28_1_BC,1362.16,15.02,1.39,
Plate1,E3,N_7_4_BC,1978.88,12.77,1.44,
Plate1,E4,N_12_4_BC,768.48,4.86,0.36,
Plate1,E5,N_23_5_BC,689.91,1.87,0.12,
Plate1,E6,N_28_5_BC,1767.81,8.1,0.76,
Plate1,E7,N_8_1_BC,1254.78,11.76,1.75,
Plate1,E8,N_11_1_BC,544.76,2.3,0.15,
Plate1,E9,N_24_1_BC,891.04,2.06,0,
Plate1,E10,N_27_1_BC,1610.81,17.51,2.06,
Plate1,E11,N_8_4_BC,1731.51,9.55,1.44,
Plate1,E12,N_11_4_BC,958.55,4.5,0.14,
Plate1,F1,N_24_5_BC,851.56,1.62,0.1,
Plate1,F2,N_27_5_BC,1638.32,10.96,1.27,
Plate1,F3,N_9_1_BC,921.64,7,0.3,
Plate1,F4,N_10_1_BC,1199.81,10.65,1.52,
Plate1,F5,N_25_1_BC,1064.16,3.83,0.23,
Plate1,F6,N_26_1_BC,1213.69,15.18,1.5,
Plate1,F7,N_9_4_BC,1489.95,12.53,0.85,
Plate1,F8,N_10_4_BC,1363.05,10.2,0.64,
Plate1,F9,N_25_5_BC,1349.56,9,0.96,
Plate1,F10,N_26_5_BC,634.49,0.29,0.09,
Plate1,F11,Stained Blank,5.28,0.01,0,
Plate1,F12,Stained Blank,3.14,0,0,
Plate1,G1,Blank,1.37,0.04,0,
Plate1,G2,Blank,0.8,0.01,0,
Plate2,A1,N2_Ocean_1_AI,355.07,0.76,0.43,
Plate2,A2,N_1_1_AI,747,1.56,0.61,
Plate2,A3,N_2_1_AI,729.72,1.09,0.49,
Plate2,A4,N_3_1_AI,750.27,1.33,0.72,
Plate2,A5,N_4_1_AI,675.64,1.75,0.65,
Plate2,A6,N_5_1_AI,808.86,4.81,1.16,
Plate2,A7,N_6_1_AI,505.94,0.4,0.37,
Plate2,A8,N_7_1_AI,808.9,1.29,0.85,
Plate2,A9,N_8_1_AI,615.15,1.57,1.79,
Plate2,A10,N_9_1_AI,343.68,0.53,1.39,
Plate2,A11,N_10_1_AI,470.96,0.96,4.62,
Plate2,A12,N_11_1_AI,510.13,0.59,0.69,
Plate2,B1,N_12_1_AI,393.94,0.32,0.53,
Plate2,B2,N_13_1_AI,286.1,0.24,0.55,
Plate2,B3,N_14_1_AI,391.96,0.89,0.56,
Plate2,B4,N_15_1_AI,670.5,1.44,4.81,
Plate2,B5,N_16_1_AI,599.99,0.63,0.32,
Plate2,B6,N1_Ocean_1_AI,500.88,1.01,0.64,
Plate2,B7,N_17_1_AI,660,0.68,0.31,
Plate2,B8,N_18_1_AI,578.29,0.89,0.31,
Plate2,B9,N_19_1_AI,387.9,0.4,0.05,
Plate2,B10,N_20_1_AI,938.22,1.53,0.35,
Plate2,B11,N_21_1_AI,466.59,0.65,0.08,
Plate2,B12,N_22_1_AI,534.36,0.77,0.39,
Plate2,C1,N_23_1_AI,577.48,2.01,0.33,
Plate2,C2,N_24_1_AI,602.75,1.32,0.49,
Plate2,C3,N_25_1_AI,406.86,1.08,0.17,
Plate2,C4,N_26_1_AI,387,0.65,0.29,
Plate2,C5,N_27_1_AI,577.59,1.04,0.43,
Plate2,C6,N_28_1_AI,651.49,1.48,0.33,
Plate2,C7,N_29_1_AI,718.14,1.91,0.95,
Plate2,C8,N_30_1_AI,361,0.28,0.57,
Plate2,C9,N_31_1_AI,342.49,0.44,0.17,
Plate2,C10,N_32_1_AI,478.44,0.61,0.29,
Plate2,C11,N2_Ocean_4_AI,455.57,0.84,1.03,
Plate2,C12,N_1_4_AI,1038.8,0.81,0.51,
Plate2,D1,N_2_4_AI,762.87,0.43,0.52,
Plate2,D2,N_3_4_AI,801.55,0.48,0.33,
Plate2,D3,N_4_4_AI,786.96,0.56,0.88,labed time point 1 but in time point 5 grouping
Plate2,D4,N_5_4_AI,1336.94,15.18,1.44,
Plate2,D5,N_6_4_AI,479.71,0.08,0.32,
Plate2,D6,N_7_4_AI,855.14,0.83,0.41,
Plate2,D7,N_8_4_AI,1488.06,6.24,0.6,
Plate2,D8,N_9_4_AI,630.33,0.52,1.01,
Plate2,D9,N_10_4_AI,520.06,0.29,0.92,
Plate2,D10,N_11_4_AI,486.1,0.41,0.23,
Plate2,D11,N_12_4_AI,360.7,0.19,0.4,
Plate2,D12,N_13_4_AI,393.38,1.15,0.41,
Plate2,E1,N_14_4_AI,570.31,1.87,1.28,
Plate2,E2,N_15_4_AI,626.89,0.61,0.52,
Plate2,E3,N_16_4_AI,541.33,0.37,0.64,
Plate2,E4,N1_Ocean_4_AI,506.85,0.69,0.36,
Plate2,E5,N_17_4_AI,510.98,0.31,0.17,
Plate2,E6,N_18_4_AI,583.19,0.79,0.23,
Plate2,E7,N_19_4_AI,537.09,0.39,0.23,
Plate2,E8,N_20_4_AI,1009.37,6.39,0.4,
Plate2,E9,N_21_4_AI,402.3,0.17,0.24,
Plate2,E10,N_22_4_AI,620.42,0.6,0.27,
Plate2,E11,N_23_4_AI,685.82,2.2,0.57,
Plate2,E12,N_24_4_AI,646.71,1.11,0.48,
Plate2,F1,N_25_4_AI,611.47,0.29,0.13,
Plate2,F2,N_26_4_AI,911.39,0.73,0.45,
Plate2,F3,N_27_4_AI,1388.21,1.93,0.77,
Plate2,F4,N_28_4_AI,972.11,0.8,0.29,
Plate2,F5,N_29_4_AI,1414.71,4.33,1.15,
Plate2,F6,N_30_4_AI,594.22,0.49,0.77,
Plate2,F7,N_31_4_AI,564.54,0.39,0.23,
Plate2,F8,N_32_4_AI,582.46,0.49,0.16,
Plate2,F9,Blank_Stained,4.7,0,0,
Plate2,F10,Blank,1.72,0.03,0,
Plate2,F11,Blank_Stained,2.28,0,0,
Plate2,F12,Blank,2.79,0.23,0,
Plate3,A1,D1_Ocean_1_AI,369.19,1.97,2.74,
Plate3,A2,D_1_1_AI,500.15,1.77,0.37,
Plate3,A3,D_2_1_AI,481.79,1.41,0.4,
Plate3,A4,D_3_1_AI,285.6,1.55,2.3,
Plate3,A5,D_4_1_AI,372.24,2.38,1.08,
Plate3,A6,D_5_1_AI,572.15,1.4,0.25,
Plate3,A7,D_6_1_AI,392.79,0.61,0.21,
Plate3,A8,D_7_1_AI,403.89,1.84,1.13,
Plate3,A9,D_8_1_AI,561.83,4.35,0.55,
Plate3,A10,D_9_1_AI,402.9,0.87,0.24,
Plate3,A11,D_10_1_AI,455.11,1.09,0.24,
Plate3,A12,D_11_1_AI,496.23,1.72,0.27,
Plate3,B1,D_12_1_AI,404.27,0.76,0.2,
Plate3,B2,D_13_1_AI,365.61,1.76,0.45,
Plate3,B3,D_14_1_AI,265.5,0.57,0.15,
Plate3,B4,D_15_1_AI,493.96,1.35,0.32,
Plate3,B5,D_16_1_AI,527.28,1.48,0.24,
Plate3,B6,D2_Ocean_1_AI,468.11,1.17,0.23,
Plate3,B7,D_17_1_AI,458.44,0.45,0.12,
Plate3,B8,D_18_1_AI,481.27,0.77,0.33,
Plate3,B9,D_19_1_AI,364.76,0.79,0.07,
Plate3,B10,D_20_1_AI,584.25,0.97,0.41,
Plate3,B11,D_21_1_AI,469.38,0.43,0.08,
Plate3,B12,D_22_1_AI,566.26,1.37,0.23,
Plate3,C1,D_23_1_AI,553.87,1.01,0.52,
Plate3,C2,D_24_1_AI,553.01,0.88,0.4,
Plate3,C3,D_25_1_AI,470.16,0.77,0.68,
Plate3,C4,D_26_1_AI,543.1,0.92,0.36,
Plate3,C5,D_27_1_AI,458.39,0.77,0.28,
Plate3,C6,D_28_1_AI,543.68,1.5,0.47,
Plate3,C7,D_29_1_AI,788.57,2.15,0.51,
Plate3,C8,D_30_1_AI,512.19,0.55,0.31,
Plate3,C9,D_31_1_AI,382.67,0.35,0.15,
Plate3,C10,D_32_1_AI,506.38,0.95,0.27,
Plate3,C11,D1_Ocean_4_AI,475.42,0.85,0.32,
Plate3,C12,D_1_4_AI,866.44,1.53,0.36,
Plate3,D1,D_2_4_AI,562.31,0.69,0.25,
Plate3,D2,D_3_4_AI,572.52,0.65,0.16,
Plate3,D3,D_4_4_AI,563.95,0.65,0.32,
Plate3,D4,D_5_4_AI,885.69,0.44,0.32,
Plate3,D5,D_6_4_AI,485.8,0.15,0.09,
Plate3,D6,D_7_4_AI,640.16,1.48,0.32,
Plate3,D7,D_8_4_AI,1333.27,6.37,0.41,
Plate3,D8,D_9_4_AI,896.79,0.39,0.2,
Plate3,D9,D_10_4_AI,510.25,0.72,0.21,
Plate3,D10,D_11_4_AI,497.03,0.65,0.15,
Plate3,D11,D_12_4_AI,485.36,0.71,0.09,
Plate3,D12,D_13_4_AI,456.26,3.85,0.08,
Plate3,E1,D_14_4_AI,919.97,1.01,0.09,
Plate3,E2,D_15_4_AI,643.68,1.08,0.21,
Plate3,E3,D_16_4_AI,617,0.89,0.21,
Plate3,E4,D2_Ocean_4_AI,499.61,0.68,0.24,
Plate3,E5,D_17_4_AI,422,0.17,0.12,
Plate3,E6,D_18_4_AI,540.12,0.32,0.27,
Plate3,E7,D_19_4_AI,277.46,0.13,0.08,
Plate3,E8,D_20_4_AI,734.78,0.64,0.23,
Plate3,E9,D_21_4_AI,539.89,0.19,0.11,
Plate3,E10,D_22_4_AI,719.99,0.71,0.24,
Plate3,E11,D_23_4_AI,734.37,0.69,0.41,
Plate3,E12,D_24_4_AI,622.23,0.68,0.28,
Plate3,F1,D_25_4_AI,546.61,0.28,0.12,
Plate3,F2,D_26_4_AI,485.1,0.28,0.16,
Plate3,F3,D_27_4_AI,489.77,0.39,0.12,
Plate3,F4,D_28_4_AI,764.28,0.57,0.33,
Plate3,F5,D_29_4_AI,1531.19,1.21,0.43,
Plate3,F6,D_30_4_AI,486.29,0.23,0.25,
Plate3,F7,D_31_4_AI,451.14,0.2,0.21,
Plate3,F8,D_32_4_AI,523.67,0.55,0.13,
Plate3,F9,stained blank,5.18,0,0,
Plate3,F10,blank,1.59,0.11,0,
Plate3,F11,stained blank,2.69,0,0,
Plate3,F12,blank,2.34,0.17,0,
Plate4,A1,D1_Ocean_1_BC,761.49,1.17,1.83,
Plate4,A2,D_1_1_BC,777.42,2.01,0.36,
Plate4,A3,D_2_1_BC,750.45,0.83,0.4,
